acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ori_x,ori_y,ori_z,ori_w,orie_x,orie_y,orie_z
-0.501465,-0.905273,0.382813,-11.625,-43.25,22.3125,-0.513,0.271057,0.0144653,0.814331,-1.19483,0.473835,-0.290116
-0.453613,-0.76416,0.37793,-2.1875,-42.3125,26.6875,-0.511292,0.267334,0.0222778,0.816406,-1.18501,0.477193,-0.270077
-0.433594,-0.797852,0.374023,-12.8125,-43.125,43.6875,-0.510559,0.264709,0.0328369,0.817383,-1.1781,0.485068,-0.247384
-0.499023,-0.812988,0.297363,-17.9375,-37.125,46.25,-0.511047,0.263733,0.0437012,0.816895,-1.17573,0.49559,-0.227215
-0.506836,-0.864258,0.292969,-13.4375,-33.875,50.5,-0.510986,0.263489,0.0544434,0.816406,-1.17258,0.507355,-0.207873
-0.574707,-0.841309,0.362305,-10.1875,-30,48.1875,-0.509766,0.263855,0.0647583,0.816284,-1.16695,0.51989,-0.189273
-0.571777,-0.731934,0.381836,-8.3125,-27.75,44.5625,-0.507751,0.264343,0.0745239,0.816528,-1.15935,0.532126,-0.17112
-0.580078,-0.696289,0.432617,-12.375,-26.75,40.875,-0.505981,0.264465,0.0841064,0.81665,-1.15198,0.543417,-0.152775
-0.557617,-0.714355,0.376953,-16.8125,-21.125,28.875,-0.506104,0.264099,0.0913086,0.815918,-1.14978,0.550824,-0.139312
-0.549805,-0.786133,0.373047,-16.75,-24.125,21.625,-0.506836,0.26239,0.0974121,0.815308,-1.14833,0.554598,-0.126363
-0.530762,-0.783203,0.368652,-9.75,-21.8125,17.3125,-0.506958,0.260559,0.102234,0.815247,-1.14557,0.556828,-0.115096
-0.542969,-0.78125,0.395508,-3.1875,-22.6875,15.9375,-0.505981,0.258545,0.106689,0.815918,-1.13983,0.558446,-0.103404
-0.549805,-0.707031,0.381348,-6,-20.75,12.6875,-0.505249,0.256897,0.110962,0.816284,-1.1351,0.560404,-0.0927408
-0.570313,-0.782715,0.364746,-12.5,-19.1875,11.5625,-0.506104,0.255127,0.11499,0.815796,-1.13463,0.561737,-0.083545
-0.574219,-0.774414,0.390137,-5.75,-15.25,8.3125,-0.505981,0.253784,0.117981,0.815857,-1.13223,0.562728,-0.0761071
-0.563965,-0.775879,0.398438,-1.875,-11.1875,5.5,-0.505432,0.252686,0.119995,0.816223,-1.1292,0.563081,-0.0704759
-0.53418,-0.755859,0.399902,0.0625,-7.6875,1.3125,-0.504822,0.251587,0.120972,0.816772,-1.12636,0.56228,-0.066715
-0.519531,-0.761719,0.40625,-2.5625,-3.6875,-2.4375,-0.504883,0.250549,0.121033,0.817078,-1.1257,0.560549,-0.0652326
-0.531738,-0.763672,0.382324,-10.25,-1.625,-2.8125,-0.506226,0.249756,0.121277,0.816467,-1.12858,0.559334,-0.0647317
-0.522949,-0.797852,0.376465,-12.875,-2.75,-0.0625,-0.508057,0.248901,0.121887,0.815491,-1.13259,0.55837,-0.0638513
-0.516602,-0.79834,0.37793,-10,-1.6875,3.375,-0.509277,0.248413,0.122803,0.814758,-1.13518,0.558453,-0.0624328
-0.537598,-0.765625,0.382324,-4.8125,2.5625,1.4375,-0.509705,0.248779,0.123047,0.814331,-1.13653,0.559323,-0.0628134
-0.546387,-0.743652,0.37207,-6.75,4.9375,-3.9375,-0.51062,0.249146,0.122559,0.813721,-1.13942,0.559345,-0.0649119
-0.585938,-0.763184,0.351563,-7.4375,3.75,-9.4375,-0.512024,0.249146,0.121521,0.812988,-1.14351,0.558068,-0.0678919
-0.599609,-0.815918,0.321777,-8.5,0.125,-8,-0.513855,0.24884,0.120972,0.812012,-1.14835,0.556769,-0.0698774
-0.574219,-0.820801,0.321289,-5.4375,-0.4375,-4.875,-0.515198,0.248535,0.120605,0.81134,-1.15183,0.555731,-0.0711419
-0.538086,-0.808594,0.334473,-2.875,0.1875,-3.0625,-0.51593,0.24823,0.120178,0.810974,-1.15365,0.554624,-0.0720738
-0.518555,-0.823242,0.360352,-2.0625,0.4375,-1.3125,-0.516418,0.247864,0.119812,0.810852,-1.15479,0.553547,-0.0725996
-0.510254,-0.804688,0.367188,0.0625,1.5,-0.3125,-0.516357,0.247742,0.119507,0.810974,-1.15462,0.552998,-0.0729395
-0.526367,-0.79541,0.357422,1.5,0.625,0.4375,-0.516113,0.247803,0.119385,0.811096,-1.15404,0.552969,-0.0730696
-0.540039,-0.783203,0.347656,2.1875,1.3125,0.3125,-0.515808,0.248169,0.119263,0.811218,-1.15356,0.553505,-0.0735595
-0.543945,-0.784668,0.355469,2.3125,0.9375,0.6875,-0.515381,0.248474,0.119263,0.811401,-1.15267,0.554074,-0.0736546
-0.556152,-0.783203,0.362793,2.1875,0.8125,1,-0.514893,0.24884,0.119324,0.811584,-1.15163,0.554817,-0.073679
-0.55957,-0.786133,0.353027,3.125,-0.6875,-0.625,-0.514343,0.248962,0.119324,0.81189,-1.15026,0.555075,-0.0734306
-0.548828,-0.787598,0.358398,3,-1.625,-1.6875,-0.513916,0.248779,0.119202,0.812256,-1.14902,0.554672,-0.0730696
-0.541992,-0.775391,0.356934,3.5,-1.75,-2.0625,-0.513367,0.248535,0.118958,0.812683,-1.14741,0.554006,-0.0727701
-0.532715,-0.785645,0.369629,4.1875,-2.6875,-2.625,-0.512695,0.247925,0.118713,0.813354,-1.14522,0.552749,-0.0718622
-0.541504,-0.78125,0.368652,3,-2.5625,-3.1875,-0.512207,0.247437,0.118408,0.813843,-1.14362,0.551597,-0.0713858
-0.548828,-0.77832,0.35498,1,-4.1875,-4.0625,-0.512146,0.246704,0.118286,0.814148,-1.14293,0.550211,-0.0705552
-0.54248,-0.789551,0.359375,-2.375,-5.375,-4.5625,-0.512512,0.245544,0.118286,0.814209,-1.14297,0.548134,-0.0692659
-0.537598,-0.791992,0.354492,-2.625,-5.6875,-4.1875,-0.513,0.244446,0.118347,0.81427,-1.14342,0.546282,-0.0680121
-0.531738,-0.808105,0.361328,-0.1875,-7.1875,-3.6875,-0.513123,0.243042,0.118469,0.814575,-1.14261,0.543962,-0.0659817
-0.536133,-0.797852,0.362305,-0.0625,-6.8125,-4.0625,-0.513123,0.241821,0.11853,0.814941,-1.14166,0.54192,-0.0642168
-0.533203,-0.814941,0.350586,-0.125,-6,-4.8125,-0.513428,0.240601,0.118347,0.815125,-1.14159,0.539567,-0.0631325
-0.53125,-0.811523,0.351563,1.6875,-7.8125,-4.625,-0.513367,0.239197,0.118286,0.815613,-1.1404,0.537083,-0.0613046
-0.539551,-0.811035,0.350586,1.0625,-10.5,-4.1875,-0.513367,0.237488,0.118652,0.81604,-1.139,0.534515,-0.0583551
-0.509766,-0.820313,0.379395,1.125,-12,-1.625,-0.513062,0.235474,0.119263,0.816711,-1.13652,0.531708,-0.054345
-0.492676,-0.800293,0.39209,3.9375,-10.8125,-0.25,-0.512207,0.233765,0.119934,0.817688,-1.13285,0.529562,-0.0502332
-0.489746,-0.79834,0.403809,7.6875,-10,0,-0.510681,0.232178,0.120422,0.81897,-1.12752,0.5274,-0.0461833
-0.517578,-0.783203,0.394043,8.625,-8.9375,-1.875,-0.509155,0.230957,0.120667,0.820251,-1.12258,0.525634,-0.0430564
-0.525879,-0.775879,0.399902,8.4375,-9,-3,-0.50769,0.229736,0.12085,0.821472,-1.11784,0.523775,-0.0401072
-0.528809,-0.778809,0.404297,7.625,-7.0625,-4.1875,-0.506348,0.228699,0.120789,0.822632,-1.11364,0.521973,-0.0379321
-0.516602,-0.77832,0.411621,9.25,-6.75,-4.3125,-0.504822,0.2276,0.120483,0.823914,-1.109,0.519782,-0.0360237
-0.500977,-0.768066,0.425781,7.125,-4.3125,-3.5625,-0.503479,0.226746,0.120178,0.825012,-1.10502,0.518008,-0.0345673
-0.492188,-0.786133,0.412598,3.25,-3.125,-4.75,-0.502991,0.22583,0.119629,0.825623,-1.10331,0.515817,-0.0340849
-0.510254,-0.784668,0.397949,0.5,-4.1875,-5.8125,-0.502991,0.224854,0.119202,0.825928,-1.10278,0.513628,-0.0336413
-0.513672,-0.804199,0.378906,-1.375,-5.5625,-7.5625,-0.503601,0.223572,0.118652,0.825989,-1.1037,0.510762,-0.0334453
-0.523438,-0.823242,0.361816,-1.3125,-5.1875,-8.5,-0.504456,0.222351,0.117981,0.825928,-1.10535,0.507878,-0.0337049
-0.523926,-0.812988,0.361328,2.375,-5.375,-9.6875,-0.504761,0.22113,0.117004,0.826233,-1.10566,0.504682,-0.0341538
-0.510254,-0.792969,0.385742,5.0625,-8.4375,-10.6875,-0.504333,0.21936,0.11615,0.827087,-1.10367,0.500674,-0.0332108
-0.494141,-0.767578,0.417969,5,-9.4375,-11.875,-0.50354,0.217163,0.115234,0.828186,-1.10046,0.49582,-0.0316456
-0.479492,-0.789063,0.423828,4.8125,-9.8125,-13.375,-0.502991,0.214661,0.114075,0.829407,-1.09788,0.490242,-0.0302873
-0.477051,-0.790039,0.44043,8.1875,-8.3125,-16,-0.501953,0.212219,0.112244,0.830933,-1.09427,0.484043,-0.02996
-0.475586,-0.779297,0.442871,11.0625,-6.5,-20.375,-0.50061,0.209778,0.109558,0.832703,-1.09015,0.476933,-0.0310439
-0.473145,-0.772461,0.445801,8.6875,-2.6875,-26.8125,-0.499878,0.207336,0.105835,0.834229,-1.0879,0.468716,-0.0344234
-0.476074,-0.763672,0.419434,2.625,2.5625,-35.6875,-0.500549,0.205017,0.100586,0.835022,-1.0897,0.459036,-0.0415741
-0.440918,-0.78418,0.434082,4.5,2.1875,-40.75,-0.501099,0.201904,0.0944214,0.836182,-1.09096,0.447027,-0.049304
-0.445313,-0.806641,0.445801,10.75,3.8125,-46.25,-0.500916,0.19873,0.0870972,0.83783,-1.09058,0.433733,-0.0586067
-0.443848,-0.849121,0.390625,5.125,8.5625,-55.1875,-0.502563,0.195557,0.078186,0.83844,-1.09511,0.418633,-0.071699
-0.415039,-0.847656,0.360352,2.8125,10.5625,-61.125,-0.504944,0.192139,0.0682373,0.838684,-1.10146,0.401934,-0.0865793
-0.374512,-0.84375,0.389648,9.125,12.5,-60.3125,-0.506104,0.188782,0.0579224,0.839539,-1.10475,0.385053,-0.101417
-0.347656,-0.850098,0.42334,5.5625,14,-62.625,-0.507446,0.185181,0.0472412,0.84021,-1.1083,0.367331,-0.116577
-0.115723,-0.890137,0.459473,-3.6875,9.25,-78.125,-0.510742,0.177246,0.0336304,0.840576,-1.11464,0.338774,-0.132407
-0.17334,-0.938477,0.486816,5.125,15.6875,-84.5,-0.512634,0.170349,0.0186768,0.841309,-1.11817,0.310759,-0.151007
-0.240723,-0.970215,0.479492,-0.5,15.5,-69.25,-0.514771,0.165588,0.00665283,0.841125,-1.12274,0.289435,-0.166977
-0.144531,-0.983887,0.493164,-5.875,13.5625,-75.3125,-0.517822,0.159241,-0.00646973,0.840515,-1.1287,0.264046,-0.183126
-0.0703125,-0.990723,0.478516,-2.625,13.875,-78.1875,-0.520508,0.152283,-0.0203247,0.839905,-1.13338,0.236856,-0.199526
-0.012207,-0.97168,0.431152,4.8125,17.125,-80.125,-0.522339,0.145386,-0.0351563,0.839478,-1.136,0.208885,-0.2173
0.0371094,-0.935547,0.462891,12.5625,20,-83.75,-0.522583,0.138245,-0.0510864,0.839722,-1.13469,0.179747,-0.236248
0.0761719,-0.911621,0.441406,13.8125,21.4375,-89.4375,-0.522766,0.130798,-0.0679321,0.8396,-1.13301,0.149164,-0.256444
0.121582,-0.890625,0.380371,10,23,-92.25,-0.523804,0.123291,-0.0853271,0.838501,-1.13316,0.117641,-0.277706
0.12207,-0.89209,0.34082,5.375,29.6875,-95.375,-0.525635,0.116882,-0.103394,0.836304,-1.13551,0.0869131,-0.301478
0.0922852,-0.900879,0.348633,2.375,36.875,-94.875,-0.527344,0.112061,-0.121582,0.833374,-1.13797,0.0585791,-0.327195
0.0703125,-0.939941,0.331055,-1.5625,44.75,-94.75,-0.52948,0.109009,-0.140015,0.829529,-1.14201,0.0325877,-0.355345
0.0668945,-0.915527,0.321289,-2.3125,53.625,-100.313,-0.530579,0.107422,-0.159546,0.8255,-1.14404,0.00805042,-0.387004
0.0864258,-0.903809,0.292969,-13.5625,64.6875,-106.563,-0.532898,0.107117,-0.180664,0.819702,-1.14928,-0.0169443,-0.422898
0.0786133,-0.97168,0.349609,-18.75,74.5,-101.563,-0.535156,0.108826,-0.201721,0.813049,-1.15508,-0.0389533,-0.46099
0.0415039,-1.02637,0.339844,-18.9375,83.5,-103.813,-0.536987,0.111755,-0.223755,0.805664,-1.16033,-0.060269,-0.502295
0.0283203,-1.01172,0.304199,-24.0625,89.5625,-105.438,-0.539001,0.115601,-0.246277,0.79718,-1.16634,-0.0812676,-0.54566
0.0258789,-0.983398,0.285156,-34.625,97,-105.125,-0.541809,0.120911,-0.269043,0.787048,-1.17491,-0.101388,-0.59123
0.0126953,-1.03906,0.327148,-34.8125,97.9375,-99.0625,-0.544434,0.127991,-0.290161,0.77655,-1.18423,-0.117434,-0.636152
-0.0253906,-1.09766,0.335449,-27.1875,90.625,-92.8125,-0.545898,0.134766,-0.309265,0.766968,-1.19088,-0.13131,-0.677592
-0.0463867,-1.0874,0.306641,-18.875,85.5,-88.4375,-0.546204,0.141113,-0.327087,0.758118,-1.1947,-0.143847,-0.716677
-0.0483398,-1.05518,0.311035,-13.5,81.8125,-80.5625,-0.54541,0.1474,-0.343506,0.750183,-1.19614,-0.154159,-0.753633
-0.0668945,-1.0415,0.316895,-10.9375,78,-72.3125,-0.543945,0.153931,-0.358337,0.742981,-1.19648,-0.161802,-0.788362
-0.117676,-1.01611,0.30127,-9.125,66.375,-66.75,-0.542542,0.159851,-0.370911,0.736572,-1.19682,-0.167771,-0.818474
-0.0917969,-0.984863,0.302246,-12.75,58.6875,-59.4375,-0.541748,0.165405,-0.381836,0.730286,-1.19852,-0.172993,-0.845179
-0.0888672,-0.916504,0.296387,-18.125,50.4375,-53.25,-0.541748,0.170593,-0.391113,0.724182,-1.20201,-0.177621,-0.868437
-0.0722656,-0.930664,0.298828,-22.5,41.25,-47.6875,-0.542664,0.175354,-0.398743,0.71814,-1.20744,-0.181911,-0.888042
-0.0288086,-0.967285,0.302734,-27.625,35.3125,-47.3125,-0.5448,0.179443,-0.40564,0.71167,-1.21526,-0.187676,-0.90543
0.00537109,-0.962891,0.320801,-24,29.125,-48.75,-0.546692,0.182007,-0.412476,0.705566,-1.22119,-0.195399,-0.921033
0.0390625,-0.9375,0.332031,-15,23,-48.9375,-0.547852,0.1828,-0.41925,0.7005,-1.2239,-0.204697,-0.934749
0.074707,-0.904785,0.313965,-11.875,17.0625,-49.9375,-0.549194,0.18219,-0.425781,0.695618,-1.22575,-0.215877,-0.946399
0.125488,-0.907715,0.304688,-16.125,11,-55.125,-0.551819,0.18042,-0.432373,0.689941,-1.22949,-0.230254,-0.956717
0.268555,-1.20898,0.266113,-30.5,27.25,-47.9375,-0.556091,0.182251,-0.438965,0.681824,-1.24026,-0.242039,-0.970799
0.191895,-1.30469,0.35498,-7.9375,17.6875,16.4375,-0.55542,0.187988,-0.437378,0.681824,-1.24412,-0.231571,-0.974343
0.0424805,-0.998047,0.372559,69.5625,12.125,13.125,-0.544922,0.187134,-0.438171,0.689941,-1.21912,-0.221113,-0.976887
0.166016,-0.803711,0.34082,32.75,-0.25,-0.375,-0.540588,0.184692,-0.43927,0.693359,-1.2069,-0.220597,-0.97713
0.230469,-0.783691,0.425293,-32.4375,0.3125,11.6875,-0.54303,0.1875,-0.437561,0.691711,-1.21521,-0.217537,-0.97644
0.206055,-1.02539,0.431152,-39.9375,7.5,-9.375,-0.546875,0.190674,-0.43811,0.6875,-1.22689,-0.218747,-0.980431
